effect,cond,condition_type,task_demand_type,aversive_pole,paradigm_class,pc_coarse,n_rollouts_all_waves,refusal_rate_all_waves,cond_text_excerpt,coding_basis
BlackBarnes2015_transportation,nonfiction,narrative_stimulus,neutral_judgment,0,social_imagery,priming,160,0.0,ARTICLE -- The hinge is among the oldest machines still in daily use. Bronze pivot fittings recovered from the eastern Mediterranean date to roughly the fourtee,manual map keyed on condition text + response-task text from protocol bank (rule-checkable; no LLM)
FathKay2018_hierarchy_corruption,flat,narrative_stimulus,moral_wrongness_rating,0,social_judgment,social_inference,160,0.175,MERIDIAN LOGISTICS has two levels of authority between an entry-level employee and the chief executive. Job titles are informal and are rarely used in everyday ,manual map keyed on condition text + response-task text from protocol bank (rule-checkable; no LLM)
FathKay2018_hierarchy_corruption,hierarchical,narrative_stimulus,moral_wrongness_rating,0,social_judgment,social_inference,160,0.125,MERIDIAN LOGISTICS has seven levels of authority between an entry-level employee and the chief executive. Job titles are formal and are used in everyday speech.,manual map keyed on condition text + response-task text from protocol bank (rule-checkable; no LLM)
Fetherstonhaugh1997_psychophysical_numbing,large_camp,narrative_stimulus,monetary_allocation,0,jdm_bias,jdm_or_perceptual,240,0.0,"holding 250,000 people",manual map keyed on condition text + response-task text from protocol bank (rule-checkable; no LLM)
Fetherstonhaugh1997_psychophysical_numbing,small_camp,narrative_stimulus,monetary_allocation,0,jdm_bias,jdm_or_perceptual,240,0.0,"holding 11,000 people",manual map keyed on condition text + response-task text from protocol bank (rule-checkable; no LLM)
Genschow2017_free_will_attribution,anti_free_will,narrative_stimulus,neutral_judgment,0,jdm_bias,jdm_or_perceptual,240,0.0,"'You, your joys and your sorrows, your memories and your ambitions, your sense of personal identity and free will, are in fact no more than the behaviour of a v",manual map keyed on condition text + response-task text from protocol bank (rule-checkable; no LLM)
Genschow2017_free_will_attribution,control,narrative_stimulus,neutral_judgment,0,jdm_bias,jdm_or_perceptual,240,0.0,"'The brain is a remarkably compact organ. Its two hemispheres together weigh about 1.4 kilograms and would fit comfortably in a shoebox, yet they contain on the",manual map keyed on condition text + response-task text from protocol bank (rule-checkable; no LLM)
Huang2019_anthropomorphism_holistic,anthropomorphized,narrative_stimulus,neutral_judgment,0,social_judgment,social_inference,240,0.0,"Both machines are presented the way the brand advertises them, as characters: AVA is a friendly, hard-working little machine. She is happiest when she is lookin",manual map keyed on condition text + response-task text from protocol bank (rule-checkable; no LLM)
Huang2019_anthropomorphism_holistic,nonanthropomorphized,narrative_stimulus,neutral_judgment,0,social_judgment,social_inference,240,0.008333333333333333,"Both machines are presented the way the brand lists them, as products: MODEL AVA is a compact washer-dryer unit. It is designed for garment care and has an indi",manual map keyed on condition text + response-task text from protocol bank (rule-checkable; no LLM)
Kay2014_structure_goal_pursuit,random,narrative_stimulus,goal_motivation_report,0,social_priming,priming,240,0.2125,"Botanists studying deciduous trees have described how irregular the growth of leaves is. New leaves emerge at scattered points along each twig, in an arrangemen",manual map keyed on condition text + response-task text from protocol bank (rule-checkable; no LLM)
Kay2014_structure_goal_pursuit,structure,narrative_stimulus,goal_motivation_report,0,social_priming,priming,240,0.029166666666666667,"Botanists studying deciduous trees have described how orderly the growth of leaves is. New leaves emerge at fixed points along each twig, in a repeating arrange",manual map keyed on condition text + response-task text from protocol bank (rule-checkable; no LLM)
Knobe2003_side_effect,harm,narrative_stimulus,moral_wrongness_rating,0,moral_judgment,moral,240,0.0,"The vice-president of a company went to the chairman of the board and said, 'We are thinking of starting a new program. It will help us increase profits, but it",manual map keyed on condition text + response-task text from protocol bank (rule-checkable; no LLM)
Knobe2003_side_effect,help,narrative_stimulus,moral_wrongness_rating,0,moral_judgment,moral,240,0.0,"The vice-president of a company went to the chairman of the board and said, 'We are thinking of starting a new program. It will help us increase profits, and it",manual map keyed on condition text + response-task text from protocol bank (rule-checkable; no LLM)
Miyamoto2002_correspondence_bias,anti_essay,narrative_stimulus,attitude_attribution,0,trait_inference,social_inference,240,0.008333333333333333,"'Capital punishment has no place in a just legal system. Every legal system convicts innocent people, and this is the one penalty that cannot be corrected once ",manual map keyed on condition text + response-task text from protocol bank (rule-checkable; no LLM)
Miyamoto2002_correspondence_bias,pro_essay,narrative_stimulus,attitude_attribution,0,trait_inference,social_inference,240,0.008333333333333333,'Capital punishment is a necessary part of a just legal system. A society that refuses to impose the ultimate penalty for the ultimate crime tells its citizens ,manual map keyed on condition text + response-task text from protocol bank (rule-checkable; no LLM)
Oppenheimer2009_retrospective_gambler,common_two_sixes_and_a_three,narrative_stimulus,neutral_judgment,0,jdm_bias,jdm_or_perceptual,160,0.0,You see him roll three dice. Two of them come up 6 and one comes up 3.,manual map keyed on condition text + response-task text from protocol bank (rule-checkable; no LLM)
Oppenheimer2009_retrospective_gambler,rare_three_sixes,narrative_stimulus,neutral_judgment,0,jdm_bias,jdm_or_perceptual,160,0.0,You see him roll three dice. All three come up 6.,manual map keyed on condition text + response-task text from protocol bank (rule-checkable; no LLM)
Oppenheimer2009_retrospective_gambler,two_dice_two_sixes,narrative_stimulus,neutral_judgment,0,jdm_bias,jdm_or_perceptual,160,0.0,You see him roll two dice. Both of them come up 6.,manual map keyed on condition text + response-task text from protocol bank (rule-checkable; no LLM)
Park2019_scarcity_price_quality,control,narrative_stimulus,neutral_judgment,0,jdm_bias,jdm_or_perceptual,240,0.0125,"Regional authorities confirmed this week that the resurfacing of the ring road has been completed on schedule. Traffic is flowing normally again, the contractor",manual map keyed on condition text + response-task text from protocol bank (rule-checkable; no LLM)
Park2019_scarcity_price_quality,scarcity,narrative_stimulus,neutral_judgment,0,jdm_bias,jdm_or_perceptual,240,0.0125,Regional water authorities confirmed this week that reservoir levels have fallen to their lowest point in forty years. Households have been told to expect restr,manual map keyed on condition text + response-task text from protocol bank (rule-checkable; no LLM)
Reinhard2013_unconscious_lie_detection,conscious_thought,neutral_instruction,neutral_judgment,0,jdm_bias,jdm_or_perceptual,240,0.004166666666666667,"Before you answer, spend three minutes thinking carefully and deliberately about the six statements. Weigh up the wording of each one, list to yourself the reas",manual map keyed on condition text + response-task text from protocol bank (rule-checkable; no LLM)
Reinhard2013_unconscious_lie_detection,unconscious_thought,neutral_instruction,neutral_judgment,0,jdm_bias,jdm_or_perceptual,240,0.004166666666666667,"Before you answer, you were given an unrelated filler task: for three minutes you worked through a page of anagrams, unscrambling letter strings into words, wit",manual map keyed on condition text + response-task text from protocol bank (rule-checkable; no LLM)
Wakslak2006_construal,high_likelihood,neutral_instruction,neutral_judgment,0,jdm_bias,jdm_or_perceptual,320,0.234375,The experimenter tells you that after this form you will be asked to spend the second half of the session actually carrying out a series of ordinary everyday ac,manual map keyed on condition text + response-task text from protocol bank (rule-checkable; no LLM)
Wakslak2006_construal,low_likelihood,neutral_instruction,neutral_judgment,0,jdm_bias,jdm_or_perceptual,320,0.08125,The experimenter tells you that after this form a few participants will be asked to spend the second half of the session actually carrying out a series of ordin,manual map keyed on condition text + response-task text from protocol bank (rule-checkable; no LLM)
Kupor2015_god_risk,neutral,neutral_prime,risk_endorsement,0,social_priming,priming,240,0.25416666666666665,dessert / distant / she / the / was felt / summer / he / hungry / the plain / the / bicycle / is / object repaired / merchant / the / roof / the rain / in / bel,manual map keyed on condition text + response-task text from protocol bank (rule-checkable; no LLM)
CarterGilovich2012_experiential_self,experiential,neutral_recall,self_episode_report,0,introspective_recall,self_report,160,0.0125,"an EXPERIENTIAL purchase -- money you spent in order to have an experience, such as a concert, a trip, a meal out, a class, a ticket to an event",manual map keyed on condition text + response-task text from protocol bank (rule-checkable; no LLM)
CarterGilovich2012_experiential_self,material,neutral_recall,self_episode_report,0,introspective_recall,self_report,160,0.00625,"a MATERIAL purchase -- money you spent in order to own an object, such as clothing, a piece of furniture, a gadget, jewellery, a household appliance",manual map keyed on condition text + response-task text from protocol bank (rule-checkable; no LLM)
Scopelliti2015_bragging_emotion,recipient,neutral_recall,self_episode_report,0,introspective_recall,self_report,240,0.029166666666666667,"Think of a recent occasion on which ANOTHER PERSON told you about something good that had happened to them -- an achievement of theirs, a piece of recognition, ",manual map keyed on condition text + response-task text from protocol bank (rule-checkable; no LLM)
Scopelliti2015_bragging_emotion,self_promoter,neutral_recall,self_episode_report,1,introspective_recall,self_report,240,0.0125,"Think of a recent occasion on which YOU told another person about something good that had happened to you -- an achievement of yours, a piece of recognition, a ",manual map keyed on condition text + response-task text from protocol bank (rule-checkable; no LLM)
Aryani2020_word_arousal,,no_manipulation,neutral_judgment,0,linguistic_intuition,jdm_or_perceptual,320,0.003125,,manual map keyed on condition text + response-task text from protocol bank (rule-checkable; no LLM)
Bargh2012_warmth,,no_manipulation,self_trait_report,0,questionnaire,self_report,816,0.0012254901960784314,,manual map keyed on condition text + response-task text from protocol bank (rule-checkable; no LLM)
Blank2022_double_misinformation,,no_manipulation,neutral_judgment,0,verifiable,jdm_or_perceptual,480,0.0,,manual map keyed on condition text + response-task text from protocol bank (rule-checkable; no LLM)
Cao2018_bayesian_pilot,,no_manipulation,neutral_judgment,0,jdm_bias,jdm_or_perceptual,480,0.004166666666666667,,manual map keyed on condition text + response-task text from protocol bank (rule-checkable; no LLM)
DeNeve1998_swb_neuroticism,,no_manipulation,affect_report,0,questionnaire,self_report,480,0.0,,manual map keyed on condition text + response-task text from protocol bank (rule-checkable; no LLM)
Finucane2000_affect_heuristic,,no_manipulation,neutral_judgment,0,jdm_bias,jdm_or_perceptual,480,0.0,,manual map keyed on condition text + response-task text from protocol bank (rule-checkable; no LLM)
Klink2000_soundsymbolism,,no_manipulation,neutral_judgment,0,linguistic_intuition,jdm_or_perceptual,960,0.07708333333333334,,manual map keyed on condition text + response-task text from protocol bank (rule-checkable; no LLM)
Kozak2006_action_identification,,no_manipulation,neutral_judgment,0,trait_inference,social_inference,400,0.0075,,manual map keyed on condition text + response-task text from protocol bank (rule-checkable; no LLM)
McCullough2002_gratitude_agreeableness,,no_manipulation,self_trait_report,0,questionnaire,self_report,480,0.0,,manual map keyed on condition text + response-task text from protocol bank (rule-checkable; no LLM)
Paunonen2003_attractiveness_extraversion,,no_manipulation,self_appearance_report,0,questionnaire,self_report,480,0.029166666666666667,,manual map keyed on condition text + response-task text from protocol bank (rule-checkable; no LLM)
Tamir2012_selfdisclosure,,no_manipulation,self_disclosure_choice,0,incentive,jdm_or_perceptual,640,0.003125,,manual map keyed on condition text + response-task text from protocol bank (rule-checkable; no LLM)
Thoresen2003_commitment_negative_affect,,no_manipulation,affect_report,0,questionnaire,self_report,480,0.04791666666666667,,manual map keyed on condition text + response-task text from protocol bank (rule-checkable; no LLM)
Tversky1973_availability_letters,,no_manipulation,neutral_judgment,0,jdm_bias,jdm_or_perceptual,480,0.0,,manual map keyed on condition text + response-task text from protocol bank (rule-checkable; no LLM)
Weinstein1984_comparative_optimism,,no_manipulation,personal_risk_estimate,0,jdm_bias,jdm_or_perceptual,480,0.04375,,manual map keyed on condition text + response-task text from protocol bank (rule-checkable; no LLM)
DogerliogluDemir2014_incidental_anchor,high_anchor,numeric_anchor,neutral_judgment,0,jdm_bias,jdm_or_perceptual,160,0.09375,Trattoria 97,manual map keyed on condition text + response-task text from protocol bank (rule-checkable; no LLM)
DogerliogluDemir2014_incidental_anchor,low_anchor,numeric_anchor,neutral_judgment,0,jdm_bias,jdm_or_perceptual,160,0.1,Trattoria 17,manual map keyed on condition text + response-task text from protocol bank (rule-checkable; no LLM)
Peters2006_numeracy_framing,gain_frame,numeric_frame,neutral_judgment,0,jdm_bias,jdm_or_perceptual,240,0.0,"Of the last 100 patients given this treatment, 75 improved.",manual map keyed on condition text + response-task text from protocol bank (rule-checkable; no LLM)
Peters2006_numeracy_framing,loss_frame,numeric_frame,neutral_judgment,0,jdm_bias,jdm_or_perceptual,240,0.0,"Of the last 100 patients given this treatment, 25 did not improve.",manual map keyed on condition text + response-task text from protocol bank (rule-checkable; no LLM)
John2016_hiding_information,hide,person_evaluation,person_evaluation_rating,0,trait_inference,social_inference,240,0.041666666666666664,APPLICANT BACKGROUND FORM Q1. Have you ever been late on a payment or a deadline that mattered? I prefer not to answer. Q2. What was your grade average in your ,manual map keyed on condition text + response-task text from protocol bank (rule-checkable; no LLM)
John2016_hiding_information,reveal,person_evaluation,person_evaluation_rating,1,trait_inference,social_inference,240,0.12083333333333333,"APPLICANT BACKGROUND FORM Q1. Have you ever been late on a payment or a deadline that mattered? Yes, twice. Q2. What was your grade average in your last year of",manual map keyed on condition text + response-task text from protocol bank (rule-checkable; no LLM)
Galinsky2006_power_perspective,high_power,power_recall,self_episode_report,1,introspective_recall,self_report,168,0.0,Recall an incident in which you had power over another person or other people -- a situation in which you controlled the ability of one or more people to get so,manual map keyed on condition text + response-task text from protocol bank (rule-checkable; no LLM)
Galinsky2006_power_perspective,low_power,power_recall,self_episode_report,0,introspective_recall,self_report,168,0.0,"Recall an incident in which someone else had power over you -- a situation in which another person controlled your ability to get something you wanted, or in wh",manual map keyed on condition text + response-task text from protocol bank (rule-checkable; no LLM)
Kupor2015_god_risk,god,religious_prime,risk_endorsement,1,social_priming,priming,240,0.25,dessert / divine / she / the / was felt / spirit / he / hungry / the sacred / the / bicycle / is / object repaired / prophet / the / roof / the God / in / belie,manual map keyed on condition text + response-task text from protocol bank (rule-checkable; no LLM)
Slepian2012_secrets,big_secret,secret_recall,self_secret_disclosure,1,introspective_recall,self_report,320,0.140625,"Think of a BIG secret you are keeping -- something important that you are hiding from the people close to you, and that would matter a great deal if it came out",manual map keyed on condition text + response-task text from protocol bank (rule-checkable; no LLM)
Slepian2012_secrets,small_secret,secret_recall,self_secret_disclosure,0,introspective_recall,self_report,320,0.075,"Think of a SMALL secret you are keeping -- something minor that you happen not to have told the people close to you, and that would not matter much if it came o",manual map keyed on condition text + response-task text from protocol bank (rule-checkable; no LLM)
Bauer2012_consumer_cues,consumer,semantic_prime,neutral_judgment,0,social_judgment,social_inference,240,0.0,consumers,manual map keyed on condition text + response-task text from protocol bank (rule-checkable; no LLM)
Bauer2012_consumer_cues,individual,semantic_prime,neutral_judgment,0,social_judgment,social_inference,240,0.0,individuals,manual map keyed on condition text + response-task text from protocol bank (rule-checkable; no LLM)
Huang2014_cleanliness_effort,cleanliness_high_effort,semantic_prime,moral_wrongness_rating,0,social_priming,priming,120,0.20833333333333334,"PRIME WORDS: the following sets contain the words immaculate, pure, washed, clean, pristine, hygienic. EFFORT INSTRUCTION: TAKE YOUR TIME. Consider each case ca",manual map keyed on condition text + response-task text from protocol bank (rule-checkable; no LLM)
Huang2014_cleanliness_effort,cleanliness_low_effort,semantic_prime,moral_wrongness_rating,0,social_priming,priming,120,0.2,"PRIME WORDS: the following sets contain the words immaculate, pure, washed, clean, pristine, hygienic. EFFORT INSTRUCTION: WORK QUICKLY. Give your FIRST IMPRESS",manual map keyed on condition text + response-task text from protocol bank (rule-checkable; no LLM)
Huang2014_cleanliness_effort,neutral_high_effort,semantic_prime,moral_wrongness_rating,0,social_priming,priming,120,0.09166666666666666,"PRIME WORDS: the following sets contain the words wooden, distant, opened, plain, orderly, ordinary. EFFORT INSTRUCTION: TAKE YOUR TIME. Consider each case care",manual map keyed on condition text + response-task text from protocol bank (rule-checkable; no LLM)
Huang2014_cleanliness_effort,neutral_low_effort,semantic_prime,moral_wrongness_rating,0,social_priming,priming,120,0.125,"PRIME WORDS: the following sets contain the words wooden, distant, opened, plain, orderly, ordinary. EFFORT INSTRUCTION: WORK QUICKLY. Give your FIRST IMPRESSIO",manual map keyed on condition text + response-task text from protocol bank (rule-checkable; no LLM)
WilliamsBargh2008_distance_priming,close,semantic_prime,neutral_judgment,0,social_priming,priming,160,0.00625,"Pair 1: (2, 3) and (3, 4) Pair 2: (-1, -2) and (-2, -1) Pair 3: (5, -4) and (4, -5)",manual map keyed on condition text + response-task text from protocol bank (rule-checkable; no LLM)
WilliamsBargh2008_distance_priming,distant,semantic_prime,neutral_judgment,0,social_priming,priming,160,0.025,"Pair 1: (-8, 8) and (8, -8) Pair 2: (-9, -7) and (7, 9) Pair 3: (9, 6) and (-7, -6)",manual map keyed on condition text + response-task text from protocol bank (rule-checkable; no LLM)
Correll2007_motherhood_penalty,mother,social_category_cue,person_evaluation_rating,1,social_judgment,social_inference,240,0.20833333333333334,"Personal: Married. Parent-Teacher Association coordinator, Oakwood Elementary School. Note appended by the recruiter: candidate mentioned two young children at ",manual map keyed on condition text + response-task text from protocol bank (rule-checkable; no LLM)
Correll2007_motherhood_penalty,nonmother,social_category_cue,person_evaluation_rating,0,social_judgment,social_inference,240,0.1375,"Personal: Married. Fundraising coordinator, Oakwood Neighbourhood Association. Note appended by the recruiter: candidate mentioned no children.",manual map keyed on condition text + response-task text from protocol bank (rule-checkable; no LLM)
Hoorens2015_more_less_asymmetry,less,stereotype_target,stereotype_endorsement,0,jdm_bias,jdm_or_perceptual,240,0.0,1. Women are less competitive than men. 2. Women are less interested in technology than men. 3. Men are less talkative than women. 4. Men are less attentive to ,manual map keyed on condition text + response-task text from protocol bank (rule-checkable; no LLM)
Hoorens2015_more_less_asymmetry,more,stereotype_target,stereotype_endorsement,0,jdm_bias,jdm_or_perceptual,240,0.0,1. Men are more competitive than women. 2. Men are more interested in technology than women. 3. Women are more talkative than men. 4. Women are more attentive t,manual map keyed on condition text + response-task text from protocol bank (rule-checkable; no LLM)
Eyal2008_moral_distance,distant_future,temporal_frame,moral_wrongness_rating,0,moral_judgment,moral,240,0.0,next year,manual map keyed on condition text + response-task text from protocol bank (rule-checkable; no LLM)
Eyal2008_moral_distance,near_future,temporal_frame,moral_wrongness_rating,0,moral_judgment,moral,240,0.004166666666666667,tomorrow,manual map keyed on condition text + response-task text from protocol bank (rule-checkable; no LLM)
VanBoven2007_anticipation,order_future_first,temporal_frame,self_episode_report,0,jdm_bias,jdm_or_perceptual,320,0.0,"QUESTION 1. Spend a moment thinking ahead to next Thanksgiving Day -- picture the day itself, who you will be with, what you will do. Then answer: How happy doe",manual map keyed on condition text + response-task text from protocol bank (rule-checkable; no LLM)
VanBoven2007_anticipation,order_past_first,temporal_frame,self_episode_report,0,jdm_bias,jdm_or_perceptual,320,0.0,"QUESTION 1. Spend a moment thinking back to last Thanksgiving Day -- picture the day itself, who you were with, what you did. Then answer: How happy does thinki",manual map keyed on condition text + response-task text from protocol bank (rule-checkable; no LLM)
Asch1946_warm_cold,cold,trait_word_swap,neutral_judgment,1,trait_inference,social_inference,480,0.04791666666666667,"intelligent, skillful, industrious, cold, determined, practical, cautious",manual map keyed on condition text + response-task text from protocol bank (rule-checkable; no LLM)
Asch1946_warm_cold,warm,trait_word_swap,neutral_judgment,0,trait_inference,social_inference,480,0.004166666666666667,"intelligent, skillful, industrious, warm, determined, practical, cautious",manual map keyed on condition text + response-task text from protocol bank (rule-checkable; no LLM)
Shnabel2008_needs_reconciliation,perpetrator_acceptance,transgression_recall,self_transgression_disclosure,1,introspective_recall,self_report,120,0.0,"PART 1 -- Recollection Take a moment and recall a concrete episode in which you hurt another person, treated someone unfairly or wronged someone, and in which y",manual map keyed on condition text + response-task text from protocol bank (rule-checkable; no LLM)
Shnabel2008_needs_reconciliation,perpetrator_empowerment,transgression_recall,self_transgression_disclosure,1,introspective_recall,self_report,120,0.008333333333333333,"PART 1 -- Recollection Take a moment and recall a concrete episode in which you hurt another person, treated someone unfairly or wronged someone, and in which y",manual map keyed on condition text + response-task text from protocol bank (rule-checkable; no LLM)
Shnabel2008_needs_reconciliation,victim_acceptance,transgression_recall,self_transgression_disclosure,0,introspective_recall,self_report,120,0.0,"PART 1 -- Recollection Take a moment and recall a concrete episode in which another person hurt you, treated you unfairly or wronged you, and in which you were ",manual map keyed on condition text + response-task text from protocol bank (rule-checkable; no LLM)
Shnabel2008_needs_reconciliation,victim_empowerment,transgression_recall,self_transgression_disclosure,0,introspective_recall,self_report,120,0.008333333333333333,"PART 1 -- Recollection Take a moment and recall a concrete episode in which another person hurt you, treated you unfairly or wronged you, and in which you were ",manual map keyed on condition text + response-task text from protocol bank (rule-checkable; no LLM)
Banerjee2012_brightness,unethical,unethical_recall,self_transgression_disclosure,1,introspective_recall,self_report,480,0.25,Recall an unethical deed you yourself performed in the past -- an occasion on which you did the wrong thing. Bring the episode to mind in as much detail as you ,manual map keyed on condition text + response-task text from protocol bank (rule-checkable; no LLM)
Caruso2013_money_priming,control,visual_stimulus,neutral_judgment,0,social_priming,priming,160,0.0,"While you were filling in the earlier part of this questionnaire, the computer in front of you was showing a faint desktop wallpaper behind the questions: a pho",manual map keyed on condition text + response-task text from protocol bank (rule-checkable; no LLM)
Caruso2013_money_priming,money,visual_stimulus,neutral_judgment,0,social_priming,priming,160,0.0,"While you were filling in the earlier part of this questionnaire, the computer in front of you was showing a faint desktop wallpaper behind the questions: a pho",manual map keyed on condition text + response-task text from protocol bank (rule-checkable; no LLM)
Elliot2010_red_attraction,red,visual_stimulus,neutral_judgment,0,social_priming,priming,160,0.0,"The photograph is printed on a rectangle of solid RED, which forms a wide red border all around the picture and fills the rest of the page behind it.",manual map keyed on condition text + response-task text from protocol bank (rule-checkable; no LLM)
