effect,wave,ref_original,doi_original,r_o,n_o,r_r,n_r,paradigm_class,in_estimation_sample,evidence_tier_A,evidence_tier_B,bare_eligible
Miyamoto2002_correspondence_bias,A0A1,"Miyamoto, Y., & Kitayama, S. (2002). Cultural variation in correspondence bias: The critic",10.1037/0022-3514.83.5.1239,0.7742,58.0,0.673,7197.0,trait_inference,True,canonical_knowledge,canonical_knowledge,True
Oppenheimer2009_retrospective_gambler,A0A1,"Oppenheimer, D. M., & Monin, B. (2009). The retrospective gambler’s fallacy: Unlikely even",10.1017/s1930297500001170,0.3261,80.0,0.01,5979.0,jdm_bias,True,primary_source,canonical_knowledge,True
Rottenstreich2001_affective_lottery,A0A1,"Rottenstreich, Y., & Hsee, C. K. (2001). Money, Kisses, and Electric Shocks: On the Affect",10.1111/1467-9280.00334,0.3748,40.0,-0.04,7218.0,jdm_bias,True,canonical_knowledge,canonical_knowledge,True
Slepian2012_secrets,A0A1,"Slepian, M. L., Masicampo, E. J., Toosi, N. R., & Ambady, N. (2012). The physical burdens ",10.1037/a0027598,0.52,40.0,0.04,100.0,introspective_recall,False,canonical_knowledge,canonical_knowledge,False
Tamir2012_selfdisclosure,A0A1,"Tamir, D. I., & Mitchell, J. P. (2012). Disclosing information about the self is intrinsic",10.1073/pnas.1202129109,0.4853,37.0,0.0046,19.0,incentive,True,primary_source,primary_source,True
Tversky1973_availability_letters,A0A1,"Tversky, A., & Kahneman, D. (1973). Availability: A heuristic for judging frequency and pr",10.1016/0010-0285(73)90033-9,0.3794,152.0,0.045,3088.0,jdm_bias,True,canonical_knowledge,canonical_knowledge,True
Valdesolo2007_hypocrisy,A0A1,"Valdesolo, P., & DeSteno, D. (2007). Moral Hypocrisy. Psychological Science, 18(8), 689–69",10.1111/j.1467-9280.2007.01961.x,0.4853,74.0,0.0,540.0,moral_judgment,True,canonical_knowledge,canonical_knowledge,True
VanBoven2007_anticipation,A0A1,"Van Boven, L., & Ashworth, L. (2007). Looking forward, looking back: Anticipation is more ",10.1037/0096-3445.136.2.289,0.44,36.0,0.01,246.0,jdm_bias,False,canonical_knowledge,canonical_knowledge,True
Wakslak2006_construal,A0A1,"Wakslak, C. J., Trope, Y., Liberman, N., & Alony, R. (2006). Seeing the forest when entry ",10.1037/0096-3445.135.4.641,0.6101,21.0,-0.0946,115.0,jdm_bias,False,canonical_knowledge,canonical_knowledge,True
Ackerman2010_haptic_weight,P2,"Ackerman, J. M., Nocera, C. C., & Bargh, J. A. (2010). Incidental Haptic Sensations Influe",10.1126/science.1189993,0.26111568302638,54.0,0.063,599.0,social_priming,False,primary_source,primary_source,False
Aryani2020_word_arousal,P2,"Aryani, A., Isbilen, E. S., & Christiansen, M. H. (2020). Affective Arousal Links Sound to",10.1177/0956797620927967,0.4179056082321443,28.0,0.7214033188451836,25.0,linguistic_intuition,True,primary_source,primary_source,True
Bauer2012_consumer_cues,P2,"Bauer, M. A., Wilkie, J. E. B., Kim, J. K., & Bodenhausen, G. V. (2012). Cuing Consumerism",10.1177/0956797611429579,0.2561582384877227,77.0,0.0598922907279467,6608.0,social_judgment,True,canonical_knowledge,canonical_knowledge,True
BlackBarnes2015_transportation,P2,"Black, J. E., & Barnes, J. L. (2015). The effects of reading material on social and non-so",10.1016/j.poetic.2015.07.001,0.3261363455467632,60.0,0.0099995000374968,594.0,social_imagery,True,canonical_knowledge,canonical_knowledge,True
Blank2022_double_misinformation,P2,"Blank, H., Panday, A., Edwards, R., Skopicz-Radkiewicz, E., Gibson, V., & Reddy, V. (2022)",10.1016/j.jarmac.2021.08.001,-0.69,96.0,-0.385,229.0,verifiable,False,canonical_knowledge,canonical_knowledge,True
Cao2018_bayesian_pilot,P2,"Cao, J., Kleiman-Weiner, M., & Banaji, M. R. (2018). People Make the Same Bayesian Judgmen",10.1177/0956797618805750,0.4358898943540673,348.0,0.5099019513592785,36.0,jdm_bias,True,canonical_knowledge,canonical_knowledge,True
CarterGilovich2012_experiential_self,P2,"Carter, T. J., & Gilovich, T. (2012). I am what I do, not what I have: The differential ce",10.1037/a0027407,0.1823885229561945,121.0,0.3090860723375581,743.0,introspective_recall,False,canonical_knowledge,canonical_knowledge,False
Caruso2013_money_priming,P2,"Caruso, E. M., Vohs, K. D., Baxter, B., & Waytz, A. (2013). Mere exposure to money increas",10.1037/a0029288,0.3713906763541036,30.0,-0.0099995000374968,6340.0,social_priming,False,canonical_knowledge,canonical_knowledge,False
Correll2007_motherhood_penalty,P2,"Correll, S. J., Benard, S., & Paik, I. (2007). Getting a Job: Is There a Motherhood Penalt",10.1086/511799,0.3909112646207652,94.0,0.0354409589117305,198.0,social_judgment,True,canonical_knowledge,canonical_knowledge,True
DeNeve1998_swb_neuroticism,P2,"DeNeve, K. M., & Cooper, H. (1998). The happy personality: A meta-analysis of 137 personal",10.1037/0033-2909.124.2.197,-0.22,7869.0,-0.54,1559.0,questionnaire,True,canonical_knowledge,canonical_knowledge,True
DogerliogluDemir2014_incidental_anchor,P2,"Dogerlioglu-Demir, K., & Koçaş, C. (2014). Seemingly incidental anchoring: the effect of i",10.1007/s11002-014-9295-0,0.2606658522907645,58.0,0.0549170007571354,144.0,jdm_bias,True,canonical_knowledge,canonical_knowledge,True
Elliot2010_red_attraction,P2,"Elliot, A. J., Niesta Kayser, D., Greitemeyer, T., Lichtenfeld, S., Gramzow, R. H., Maier,",10.1037/a0019689,0.3911406403448517,33.0,-0.114247022914439,28.0,social_priming,False,canonical_knowledge,canonical_knowledge,False
FathKay2018_hierarchy_corruption,P2,"Fath, S., & Kay, A. C. (2018). “If hierarchical, then corrupt”: Exploring people’s tendenc",10.1016/j.obhdp.2018.10.004,0.2049390153191919,405.0,0.282842712474619,321.0,social_judgment,True,canonical_knowledge,canonical_knowledge,True
Fetherstonhaugh1997_psychophysical_numbing,P2,"FETHERSTONHAUGH, D., SLOVIC, P., JOHNSON, S., & FRIEDRICH, J. (1997). Insensitivity to the",10.1023/a:1007744326393,0.7414562912379874,162.0,0.4919138057920608,1606.0,jdm_bias,True,canonical_knowledge,canonical_knowledge,True
Finucane2000_affect_heuristic,P2,"Finucane, M. L., Alhakami, A., Slovic, P., & Johnson, S. M. (2000). The affect heuristic i",10.1002/(sici)1099-0771(200001/03)13:1<1::aid-bdm333>3.0.co;2-s,-0.75,219.0,-0.87,776.0,jdm_bias,True,canonical_knowledge,canonical_knowledge,True
Galinsky2006_power_perspective,P2,"Galinsky, A. D., Magee, J. C., Inesi, M. E., & Gruenfeld, D. H. (2006). Power and Perspect",10.1111/j.1467-9280.2006.01824.x,0.3592917377421468,42.0,0.0149983127847122,2969.0,introspective_recall,False,canonical_knowledge,canonical_knowledge,False
Gervais2012_analytic_priming,P2,"Gervais, W. M., & Norenzayan, A. (2012). Analytic Thinking Promotes Religious Disbelief. S",10.1126/science.1215647,0.2873478855663454,57.0,0.0349785821756186,952.0,social_priming,False,canonical_knowledge,canonical_knowledge,False
Giessner2007_vertical_power,P2,"Giessner, S. R., & Schubert, T. W. (2007). High in the hierarchy: How vertical location an",10.1016/j.obhdp.2006.10.001,0.2638110893282788,64.0,0.0149983127847122,7890.0,social_priming,False,canonical_knowledge,canonical_knowledge,False
Glikson2017_smiley_competence,P2,"Glikson, E., Cheshin, A., & Kleef, G. A. van. (2017). The Dark Side of a Smiley. Social Ps",10.1177/1948550617720269,0.3387194682727416,85.0,0.1093404791528976,823.0,trait_inference,True,primary_source,primary_source,True
Helzer2011_cleansing_conservatism,P2,"Helzer, E. G., & Pizarro, D. A. (2011). Dirty Liberals! Psychological Science, 22(4), 517–",10.1177/0956797611402514,0.4065622681231995,52.0,-0.029986509105671,160.0,social_priming,False,canonical_knowledge,canonical_knowledge,False
Hoorens2015_more_less_asymmetry,P2,"Hoorens, V., & Bruckmüller, S. (2015). Less is more? Think again! A cognitive fluency-base",10.1037/pspa0000032,0.6782329983125268,320.0,0.4819187497721559,433.0,jdm_bias,True,canonical_knowledge,canonical_knowledge,True
Huang2014_cleanliness_effort,P2,"Huang, J. L. (2014). Does cleanliness influence moral judgments? Response effort moderates",10.3389/fpsyg.2014.01276,-0.1434993104669943,218.0,0.0617568943169517,387.0,social_priming,False,primary_source,primary_source,False
Huang2019_anthropomorphism_holistic,P2,"Huang, F., Wong, V. C., & Wan, E. W. (2019). The Influence of Product Anthropomorphism on ",10.1093/jcr/ucz028,0.6708203932499369,101.0,0.0499376169438922,584.0,social_judgment,True,canonical_knowledge,canonical_knowledge,True
John2016_hiding_information,P2,"John, L. K., Barasz, K., & Norton, M. I. (2016). Hiding personal information reveals the w",10.1073/pnas.1516868113,0.1899761158124235,142.0,0.0194962936194799,1224.0,trait_inference,True,canonical_knowledge,canonical_knowledge,True
Jostmann2009_weight_importance,P2,"Jostmann, N. B., Lakens, D., & Schubert, T. W. (2009). Weight as an Embodiment of Importan",10.1111/j.1467-9280.2009.02426.x,0.282945147243684,51.0,0.0149983127847122,2374.0,social_priming,False,canonical_knowledge,canonical_knowledge,False
Kay2014_structure_goal_pursuit,P2,"Kay, A. C., Laurin, K., Fitzsimons, G. M., & Landau, M. J. (2014). A functional basis for ",10.1037/a0034462,0.2425356250363329,67.0,-0.0099995000374968,6506.0,social_priming,False,canonical_knowledge,canonical_knowledge,False
KimMarkus1999_uniqueness_preference,P2,"Kim, H., & Markus, H. R. (1999). Deviance or uniqueness, harmony or conformity? A cultural",10.1037/0022-3514.77.4.785,0.2132595826717,76.0,0.014048649981898,31.0,jdm_bias,True,canonical_knowledge,canonical_knowledge,True
Kozak2006_action_identification,P2,"Kozak, M. N., Marsh, A. A., & Wegner, D. M. (2006). What do i think you’re doing? Action i",10.1037/0022-3514.90.4.543,0.3,50.0,0.08,1086.0,trait_inference,False,canonical_knowledge,canonical_knowledge,True
Kupor2015_god_risk,P2,"Kupor, D. M., Laurin, K., & Levav, J. (2015). Anticipating Divine Protection? Reminders of",10.1177/0956797614563108,0.2758634886606276,61.0,0.0698291276999138,556.0,social_priming,False,canonical_knowledge,canonical_knowledge,False
McCullough2002_gratitude_agreeableness,P2,"McCullough, M. E., Emmons, R. A., & Tsang, J.-A. (2002). The grateful disposition: A conce",10.1037/0022-3514.82.1.112,0.41,1228.0,0.54,1559.0,questionnaire,True,canonical_knowledge,canonical_knowledge,True
Mellers2001_conjunction_frequency,P2,"Mellers, B., Hertwig, R., & Kahneman, D. (2001). Do Frequency Representations Eliminate Co",10.1111/1467-9280.00350,0.282945147243684,108.0,0.237962230135701,1032.0,jdm_bias,True,canonical_knowledge,canonical_knowledge,True
Park2019_scarcity_price_quality,P2,"Park, H., Lalwani, A. K., & Silvera, D. H. (2019). The Impact of Resource Scarcity on Pric",10.1093/jcr/ucz031,0.2236067977499789,149.0,0.0399680383488715,773.0,jdm_bias,True,canonical_knowledge,canonical_knowledge,True
Paunonen2003_attractiveness_extraversion,P2,"Paunonen, S. V. (2003). Big Five factors of personality and replicated predictions of beha",10.1037/0022-3514.84.2.411,0.24,418.0,0.33,1550.0,questionnaire,True,canonical_knowledge,canonical_knowledge,True
Peters2006_numeracy_framing,P2,"Peters, E., Västfjäll, D., Slovic, P., Mertz, C. K., Mazzocco, K., & Dickert, S. (2006). N",10.1111/j.1467-9280.2006.01720.x,0.3316624790355399,100.0,0.1,860.0,jdm_bias,True,canonical_knowledge,canonical_knowledge,True
Reinhard2013_unconscious_lie_detection,P2,"Reinhard, M.-A., Greifeneder, R., & Scharmach, M. (2013). Unconscious processes improve li",10.1037/a0034352,0.3464101615137754,66.0,0.0447213595499957,110.0,jdm_bias,True,canonical_knowledge,canonical_knowledge,True
Scopelliti2015_bragging_emotion,P2,"Scopelliti, I., Loewenstein, G., & Vosgerau, J. (2015). You Call It “Self-Exuberance”; I C",10.1177/0956797615573516,0.2252948577076705,154.0,-0.0290052304815362,124.0,introspective_recall,False,canonical_knowledge,canonical_knowledge,False
Shnabel2008_needs_reconciliation,P2,"Shnabel, N., & Nadler, A. (2008). A needs-based model of reconciliation: Satisfying the di",10.1037/0022-3514.94.1.116,0.2645751311064591,94.0,0.09,1376.0,introspective_recall,False,canonical_knowledge,canonical_knowledge,False
Stevenson2000_web_brand_attitude,P2,"Stevenson, J. S., Bruner, G. C., & Kumar, A. (2000). Webpage Background and Viewer Attitud",10.2501/jar-40-1-2-29-34,0.42,30.0,0.54,95.0,social_judgment,True,canonical_knowledge,canonical_knowledge,True
Thoresen2003_commitment_negative_affect,P2,"Thoresen, C. J., Kaplan, S. A., Barsky, A. P., Warren, C. R., & de Chermont, K. (2003). Th",10.1037/0033-2909.129.6.914,-0.19,713.0,-0.26,748.0,questionnaire,True,canonical_knowledge,canonical_knowledge,True
Weinstein1984_comparative_optimism,P2,"Weinstein, N. D. (1984). Why it won’t happen to me: Perceptions of risk factors and suscep",10.1037/0278-6133.3.5.431,-0.3511234415883917,136.0,-0.196116135138184,480.0,jdm_bias,True,canonical_knowledge,canonical_knowledge,True
WilliamsBargh2008_distance_priming,P2,"Williams, L. E., & Bargh, J. A. (2008). Keeping One’s Distance. Psychological Science, 19(",10.1111/j.1467-9280.2008.02084.x,0.3316624790355399,84.0,0.0,125.0,social_priming,False,canonical_knowledge,canonical_knowledge,False
Zarkadi2013_visual_contrast,P2,"Zarkadi, T., & Schnall, S. (2013). “Black and White” thinking: Visual contrast polarizes m",10.1016/j.jesp.2012.11.012,0.2645751311064591,111.0,0.0316227766016837,8602.0,social_priming,False,primary_source,canonical_knowledge,False
