effect,variant,model,persona,r_sim,ci_lo,ci_hi,n_ok,parse_rate,parse_rate_strict,n_used,n_denom,n_refused,n_parse_fail,n_refusal_text,parse_tier_max,stat,zero_var,flag
Genschow2017_free_will_attribution,B,deepseek-v4-flash,none,0.12007302660701875,-0.2203285356772594,0.565542823153122,30,1.0,1.0,30,30,0,0,0,1,between,0,
Husnu2010_imagined_contact,A,deepseek-v4-flash,none,0.6811149137797496,0.5353425398358382,0.8188887892431165,30,1.0,1.0,30,30,0,0,0,1,between,0,
Husnu2010_imagined_contact,B,deepseek-v4-flash,none,0.9347771315478143,0.8164965809277259,1.0,30,1.0,1.0,30,30,0,0,0,1,between,0,
Klink2000_soundsymbolism,A,deepseek-v4-flash,none,0.9879349542797918,0.9643631348905397,1.0,30,1.0,1.0,30,30,0,0,0,1,paired_zero,0,
Klink2000_soundsymbolism,B,deepseek-v4-flash,none,0.7097556526155697,0.47355635684990216,0.8834782555589658,30,1.0,1.0,30,30,0,0,0,1,paired_zero,0,
Knobe2003_side_effect,A,deepseek-v4-flash,none,1.0,1.0,1.0,30,1.0,0.6,30,30,0,0,0,3,phi,2,zero_variance
Knobe2003_side_effect,B,deepseek-v4-flash,none,1.0,1.0,1.0,30,1.0,1.0,30,30,0,0,0,1,phi,2,zero_variance
Miyamoto2002_correspondence_bias,A,deepseek-v4-flash,none,0.8815252811658942,0.8086369370248244,0.9460113705652383,30,1.0,1.0,30,30,0,0,0,1,between,0,
Miyamoto2002_correspondence_bias,B,deepseek-v4-flash,none,0.9231326627541018,0.8683834280152009,0.9664206961447244,30,1.0,1.0,30,30,0,0,0,1,between,0,
Oppenheimer2009_retrospective_gambler,A,deepseek-v4-flash,none,0.67258255496758,0.45496197783790876,0.8845037012003406,30,1.0,1.0,20,30,0,0,0,1,between,0,n_offcontrast=10
Oppenheimer2009_retrospective_gambler,B,deepseek-v4-flash,none,0.960116306264387,0.890294749868315,0.9999027479825442,30,1.0,1.0,20,30,0,0,0,1,between,0,n_offcontrast=10
Rottenstreich2001_affective_lottery,A,deepseek-v4-flash,none,0.0,0.0,0.0,30,1.0,1.0,30,30,0,0,0,1,phi,2,zero_variance
Rottenstreich2001_affective_lottery,B,deepseek-v4-flash,none,0.0,0.0,0.0,30,1.0,1.0,30,30,0,0,0,1,phi,2,zero_variance
Slepian2012_secrets,A,deepseek-v4-flash,none,0.0270968975761348,-0.3491008348844048,0.36844175025782616,30,1.0,1.0,30,30,0,0,0,1,between,0,
Slepian2012_secrets,B,deepseek-v4-flash,none,0.07207254866623342,-0.2969262808248979,0.41722423639112766,30,1.0,1.0,30,30,0,0,0,1,between,0,
Tamir2012_selfdisclosure,A,deepseek-v4-flash,none,0.2531848417709166,0.0,0.4016632088371218,30,1.0,1.0,30,30,0,0,0,1,paired_zero,0,
Tamir2012_selfdisclosure,B,deepseek-v4-flash,none,0.23094010767585033,0.0,0.3729349269914457,30,1.0,1.0,30,30,0,0,0,1,paired_zero,0,
Tversky1973_availability_letters,A,deepseek-v4-flash,none,0.8,0.5333333333333334,1.0,30,1.0,0.0,30,30,0,0,0,2,prop_vs_half,0,
Tversky1973_availability_letters,B,deepseek-v4-flash,none,0.19999999999999996,-0.1333333333333333,0.5333333333333334,30,1.0,1.0,30,30,0,0,0,1,prop_vs_half,0,
Valdesolo2007_hypocrisy,A,deepseek-v4-flash,none,0.5104851915074736,0.36178730264621084,0.6804138174397717,30,1.0,1.0,30,30,0,0,0,1,between,0,
Valdesolo2007_hypocrisy,B,deepseek-v4-flash,none,0.4749593181995306,0.2906190968595482,0.6478946224969498,30,1.0,1.0,30,30,0,0,0,1,between,0,
VanBoven2007_anticipation,A,deepseek-v4-flash,none,0.10170952554312157,-0.23732222626728366,0.4666666666666666,30,1.0,1.0,30,30,0,0,0,1,paired_zero,0,
VanBoven2007_anticipation,B,deepseek-v4-flash,none,0.6441603284397698,0.3450327796711771,0.8784104611578831,30,1.0,1.0,30,30,0,0,0,1,paired_zero,0,
Wakslak2006_construal,A,deepseek-v4-flash,none,-0.17044354093240902,-0.5306924693734388,0.19138818313746955,30,1.0,1.0,30,30,0,0,0,1,between,0,
Wakslak2006_construal,B,deepseek-v4-flash,none,-0.014469977004330765,-0.353610023523214,0.3479439883702522,30,1.0,1.0,30,30,0,0,0,1,between,0,
