effect,variant,model,persona,r_sim,ci_lo,ci_hi,n_ok,parse_rate,parse_rate_strict,n_used,n_denom,n_refused,n_parse_fail,n_refusal_text,parse_tier_max,stat,zero_var,flag
Oppenheimer2009_retrospective_gambler,A,gpt-5.6-terra,none,0.24644001103704286,-0.18729660251998745,0.659000067997167,30,1.0,1.0,20,30,0,0,0,1,between,0,n_offcontrast=10
Oppenheimer2009_retrospective_gambler,B,gpt-5.6-terra,none,0.2517797387168707,0.11412537853627995,0.7401297658446054,30,1.0,1.0,20,30,0,0,0,1,between,0,n_offcontrast=10
Rottenstreich2001_affective_lottery,A,gpt-5.6-terra,none,0.0,0.0,0.0,30,1.0,1.0,30,30,0,0,0,1,phi,2,zero_variance
Rottenstreich2001_affective_lottery,B,gpt-5.6-terra,none,0.33333333333333337,0.0,0.5,30,1.0,1.0,30,30,0,0,0,1,phi,1,zero_variance
Slepian2012_secrets,A,gpt-5.6-terra,none,-0.1588931188280624,-0.47271408403382004,0.23022023860880939,30,1.0,1.0,30,30,0,0,0,1,between,0,
Slepian2012_secrets,B,gpt-5.6-terra,none,-0.370018920952396,-0.5421643825298939,-0.1699576929112908,30,1.0,1.0,30,30,0,0,0,1,between,0,
Tamir2012_selfdisclosure,A,gpt-5.6-terra,none,0.435437406256083,0.2993820796734996,0.5703167737463092,30,1.0,1.0,30,30,0,0,0,1,paired_zero,0,
Tamir2012_selfdisclosure,B,gpt-5.6-terra,none,0.0,0.0,0.0,30,1.0,1.0,30,30,0,0,0,1,paired_zero,1,zero_variance
Tversky1973_availability_letters,A,gpt-5.6-terra,none,-0.06666666666666665,-0.4,0.33333333333333326,30,1.0,0.0,30,30,0,0,0,2,prop_vs_half,0,
Tversky1973_availability_letters,B,gpt-5.6-terra,none,-0.6,-0.8666666666666667,-0.2666666666666667,30,1.0,1.0,30,30,0,0,0,1,prop_vs_half,0,
Valdesolo2007_hypocrisy,A,gpt-5.6-terra,none,0.7476197972343497,0.6420811384104232,0.9084453813633688,30,1.0,1.0,30,30,0,0,0,1,between,1,zero_variance
Valdesolo2007_hypocrisy,B,gpt-5.6-terra,none,0.5516772843673704,0.33333333333333326,0.760885910252682,30,1.0,1.0,30,30,0,0,0,1,between,1,zero_variance
VanBoven2007_anticipation,A,gpt-5.6-terra,none,0.9660917830792959,0.9128709291752769,1.0,30,1.0,1.0,30,30,0,0,0,1,paired_zero,0,
VanBoven2007_anticipation,B,gpt-5.6-terra,none,0.6642111641550715,0.4303314829119352,0.8366600265340756,30,1.0,1.0,30,30,0,0,0,1,paired_zero,0,
Wakslak2006_construal,A,gpt-5.6-terra,none,0.4991713760584548,0.28996202803193766,0.6997689910516889,30,1.0,1.0,30,30,0,0,0,1,between,0,
Wakslak2006_construal,B,gpt-5.6-terra,none,0.8700223160953444,0.7031790477757701,1.0,30,1.0,1.0,30,30,0,0,0,1,between,1,zero_variance
